ID,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7
0,1.375361108,0.005694993,0.340598855,-0.068995771,0.697062689,0.424383848,0.02307515,-0.312951113
1,0.907906066,0.631827075,-0.247944775,-0.186796057,0.91634665,-0.059345089,0.157775769,-1.222807128
2,0.305615858,1.082618958,-0.788735774,-0.129106685,0.988338288,-0.384655352,0.327061491,-2.006788931
3,1.060728376,0.561928388,-0.692963241,-0.131503684,1.115945461,-0.134802466,0.55267522,-1.225815461
4,1.367719063,0.954668091,-0.171898985,-0.221613178,1.544429198,0.31779039,0.398558117,-0.730315216
5,1.123977519,0.468925214,-0.155006012,-0.1293388,0.605405027,-0.09056913,-0.529682568,-0.841414927
6,1.328794208,0.454708846,0.157572233,-0.06404752,0.795254886,0.135756858,-0.687642036,-0.523120862
7,1.671938142,0.723051711,-0.335250262,-0.15651751,1.717720738,-0.173833238,-0.829118479,-1.102682418
8,-0.018717247,0.814275585,-1.512793254,-0.127335234,1.737342467,-0.428911759,-0.242989211,-2.947240643
9,0.33111157,0.345121221,-1.157780408,-0.176145547,1.197731352,-0.283140451,0.268105016,-2.09090514
10,0.668651718,0.755631829,-0.321167073,-0.120961566,1.295871201,0.50757009,-0.056612562,-1.045622907
11,0.483567413,0.702910692,-0.473262079,-0.164360331,1.178104591,0.676499157,0.050682892,-1.228820134
12,0.702085722,0.840339984,-0.529594832,-0.190517106,1.341660267,0.17216616,0.701634684,-1.192782355
13,0.45824858,1.333781987,-0.732399595,-0.165789599,1.805991837,0.408787689,0.488257675,-1.766462657
14,1.013879659,1.197537625,-0.636620209,-0.115643541,1.675220585,0.138356699,-0.747913784,-1.77847403
15,0.702511308,1.503199821,-0.208518701,-0.160754558,1.547698983,0.442582731,-0.459804299,-1.180763663
16,1.089729705,1.157257366,-0.045174278,-0.18121407,1.08322748,0.421785449,-0.014645294,-0.736320903
17,1.001489944,0.75859352,0.067467242,-0.162924124,1.364558827,1.076547262,0.123291522,-0.832408227
18,1.119235591,1.529263966,0.199808092,-0.157597366,1.043964896,0.296988782,-0.143379008,-0.703291457
19,1.368922608,1.58790696,-0.270471023,0.507237132,1.161746607,0.062925277,-0.460410989,-0.652237632
20,1.027512102,0.967699275,-0.650706823,0.502311903,1.302412784,0.042113576,-0.588639389,-0.967538003
21,1.164287934,0.985470687,-0.467635657,0.531238367,0.971980305,0.172164718,-0.251382353,-0.76033267
22,1.158896872,0.742600137,-0.566214548,0.508341754,0.755981229,0.296988782,-0.008173075,-0.604203119
23,0.517600647,0.186366997,-1.383176524,0.483691164,0.539927791,0.239780757,-0.843376804,-1.366972882
24,0.808755642,-0.685598087,-1.016917688,0.486402733,0.644686738,0.138358141,-0.688855934,-1.105687092
25,1.381222725,0.563705656,-0.304267248,0.492263032,0.870532417,-0.301358079,-0.566391862,0.011282763
26,1.668074329,1.288169923,-0.135289549,0.483263234,1.207547753,-0.215469617,-1.168802792,-0.114807376
27,1.855532406,0.997316941,0.385644497,0.47604498,1.30895638,-0.022921368,-0.986876064,0.36250014
28,1.216366122,0.612872002,-0.304270674,0.496352443,0.723247141,0.021304759,-1.088811649,-0.354983599
29,1.689735976,0.460632735,0.298366423,0.479035333,0.661055796,0.198171774,-0.668124698,0.260440067
30,1.548131586,0.448784957,0.227967615,0.533655608,0.733063542,0.203374339,-0.848838394,0.317470301
31,-0.213396281,2.756055561,-0.729576104,-0.529415162,1.871367397,1.229740301,-1.933420709,-1.439063079
32,0.347375941,2.515554871,-0.090233627,-1.593992713,0.23867371,0.790825807,-1.799933641,-0.339974872
33,0.641407948,2.670755322,0.40253747,-1.476991042,0.582488347,1.385494247,-1.949702197,0.170387708
34,0.763852036,2.113931367,0.61089327,-1.514725157,0.261599451,1.328390042,-1.499587956,0.251437027
35,0.790315632,2.146511231,-0.400029501,-1.369450214,0.73634138,1.297239541,-1.639344493,-0.039752763
36,1.487380594,1.243743043,-0.422562602,-0.541974315,0.860705948,1.676124109,-1.600107413,0.257446374
37,1.200635864,0.836193364,-0.881698522,-0.382039175,-0.183916764,1.050577697,-0.835691726,-0.141827475
38,0.709705638,0.889506331,-0.495788327,-0.464816459,-0.036477462,1.510068853,-0.868861393,-0.03675175
39,1.28261644,0.78939764,-0.098676686,-0.428065298,-0.095452377,1.7228203,-0.72344121,0.692662847
40,1.304912818,0.127129125,0.250497289,0.116220018,-0.197026104,1.118095683,0.01983878,0.74068638
41,1.413925913,1.414344283,0.318076033,0.00182657,0.674149028,1.042786827,-2.007748725,0.767688181
42,1.318151881,1.460549447,-0.645073548,-0.012256627,0.160069013,0.312584941,-1.497969944,0.083332702
43,1.49602584,1.490167113,0.095619912,0.034657118,-0.039754293,0.894743001,-1.047349695,0.60562248
44,1.202480694,1.244926703,0.267386836,-0.029805325,-0.337934897,1.406258364,-1.219366298,0.626625914
45,1.282179171,0.897799572,-0.045177704,0.947459312,0.006109269,1.62942215,-0.582774206,0.512576427
46,1.318964895,1.329042774,0.419433869,0.911727402,0.638140122,0.660908766,-0.483771212,0.683652487
47,1.747179292,2.645876106,0.188541541,0.954095837,0.091283737,-0.03332794,-0.525131965,0.770692854
48,1.123492425,1.625227561,-0.695776452,0.886353,0.444979204,-0.113984997,-0.775218095,-0.297938726
49,1.165713619,0.79354426,-0.428189024,-0.046536205,-0.331381234,-0.197256315,-0.054690946,0.011286423
50,1.286031551,0.984877841,0.318076033,-0.004267351,-0.121665017,0.47377649,-1.941105786,0.770692854
51,2.053687671,1.05063067,0.700977703,0.083644109,0.232123067,0.936301515,-1.409079825,1.679919388
52,1.336884874,1.037597962,0.295553212,0.069821984,0.41550886,0.679097555,-1.305020221,0.584611727
53,0.648779127,0.157340399,-0.084603778,-0.063666647,0.399138796,0.299588623,-1.253445739,-0.030753383
54,1.371083027,0.704688977,-0.732392741,-0.291371196,-0.003721226,0.101944513,-1.321807025,-0.057766163
55,0.930886349,0.375924071,-0.754936122,-0.599366296,0.074901592,0.283986696,-0.640517649,-0.490095076
56,1.912583141,0.535862718,-0.357783363,-0.415681539,-0.11510934,0.208576904,-0.749026134,0.563597314
57,1.288075738,-0.837243493,-0.349336876,-0.42734909,-0.282224732,0.580346877,-0.677933794,0.200405161
58,1.317020224,-0.556461528,-0.811272301,-0.410129895,-0.603442821,0.374991205,-0.582369573,0.092332082
59,1.350663048,-0.160761405,-0.656340099,-0.473580108,-0.029922792,0.075931689,-0.106366976,0.080328029
60,1.29449516,-0.201633494,-0.569020906,-0.392901524,-0.855907849,-0.540867839,-1.166679293,0.242433987
61,0.993209732,-0.580157084,-0.707049856,-0.598516066,-0.911661301,-0.389862242,-1.277614882,-0.084786263
62,1.319873162,-0.823620225,-0.357779936,-0.417958647,-1.18390611,-0.363832115,-1.207230433,0.347495073
63,1.545246125,-0.752536354,0.244864014,-0.399236949,-1.242958542,-0.23369013,-0.497828001,1.307866927
64,0.847117564,0.368816015,-0.135292976,0.514909624,-1.118299008,1.818790894,-2.223755414,0.098345088
65,0.810555262,0.033535899,-0.019834819,0.614114882,-0.829678095,1.04018987,-1.092047325,0.455549853
66,1.355487222,-0.007930561,0.624969605,0.526299404,-0.767382053,1.302432012,-1.09406997,1.040787717
67,1.309941272,-0.127588948,0.337782217,0.550667196,-0.646062773,1.525637615,-1.53933035,0.965773362
68,1.253863364,-0.237767895,-0.349326597,-0.319988814,-0.688683732,1.242722199,-1.086687977,0.500572373
69,0.934292766,-0.733579504,-0.231044949,-0.958387294,-0.957577212,1.398473262,-1.094272546,0.647640327
70,1.159448188,-0.783932558,-0.191618875,-0.837952772,-1.288891567,0.101944513,0.05058169,0.824714754
71,0.514405625,-1.07300624,-1.12397733,-0.833454617,-1.446395926,0.05512143,-0.894142886,0.023290476
72,0.902210649,-0.11100145,-0.340883537,-1.035757395,-0.685404887,-0.49660278,-0.550009172,0.3444904
73,0.980003957,0.08625729,-0.636627062,-0.840612244,-0.895265063,-0.681492819,-0.61746051,0.089338388
74,1.057871241,0.614647493,-0.107133452,-0.886938508,-1.137978118,-0.124394453,0.303094924,0.692655527
75,0.912073859,0.566072976,0.028041168,-0.869651138,-1.118296995,-0.002108225,-0.932773104,0.65964438
76,0.385267688,0.769848959,-0.940851339,-0.795641492,-0.773935716,-0.921152542,-0.684810993,-0.3009434
77,0.833202077,1.124677755,-1.025371027,-0.952375633,-0.71163464,-1.241721665,-0.299518582,-0.306949086
78,0.567605304,0.494397021,-0.88451516,-0.606705344,-0.872306101,-0.496601338,-0.446455575,-0.216878428
79,0.815712533,-0.217628908,-1.078893995,-0.81786959,-0.928061567,-0.561699727,0.122381228,-0.024747696
80,0.749634782,-0.528028031,-0.425382666,-0.863802357,-1.958476622,0.081129928,0.514954776,0.776691221
81,0.850760104,-0.118109761,-0.543681447,-0.983911259,-1.137980132,-0.543470563,0.549944685,0.359499127
82,1.531655115,1.384725347,0.04212093,-1.002083481,-0.672293533,-0.470568327,-0.077748258,0.800706648
83,1.131770589,-0.222959697,-0.267657812,-1.071951257,-1.151103566,-0.189451026,0.401996716,0.824714754
84,1.369668812,-0.241323193,-0.008571695,-0.869601586,-1.636752159,-0.257111765,-0.92013227,1.010777583
85,1.395926953,-0.057689499,-0.352146661,-0.836959881,-2.086544866,-0.540867839,-0.482962293,0.920747182
86,0.869750545,-0.583710604,-0.450722125,-2.218148191,-0.111837542,-1.502475712,-3.200739364,0.053307929
87,1.067551157,0.018134347,0.28147345,-0.398885185,-0.075795414,-1.87294937,-1.884880193,-0.060770836
88,0.209517084,-0.071314037,-0.439462428,-0.508268146,-0.590329455,-1.505084204,-1.276199274,-0.339974872
89,0.416294372,-0.079606516,-0.025468094,-0.493255625,0.029042057,-1.252151308,-1.175577922,-0.03675175
90,0.709372651,-0.487747263,0.332155795,-0.529742651,0.20919632,-0.962842274,-0.731834178,0.512576427
91,1.033839236,0.315503048,0.427876929,-0.531332922,0.395864984,-1.377301253,-1.501307169,0.500576033
92,0.740361992,-0.199264904,-0.600014199,-0.425096469,-0.262562736,-1.559859655,-1.703559981,-0.487094063
93,0.518687163,-0.199856988,-0.549307869,-0.475227952,0.015940771,-1.017568699,-0.975549811,-0.306949086
94,0.686650901,0.112320927,-0.591554007,-0.58897334,-0.373988098,-1.372087153,-1.049877827,0.119352182
95,0.693963076,0.147270398,0.498268884,-0.382386561,-0.23634607,-1.351227867,-0.418341999,0.383510893
96,0.49601989,0.42509118,0.180098481,-0.493390272,0.372942263,-1.583334643,-0.686934492,-0.105804335
97,0.950563683,1.047669487,-0.002938419,-0.411564311,-0.062696141,-2.502246301,-0.606336486,-0.216878428
98,0.298182666,1.05063067,0.303999698,-0.494008484,0.18953835,-1.927755102,0.495841724,-0.183848982
99,0.422671733,1.054184698,0.360305038,-0.429354481,0.101100138,-1.888607533,0.518393029,-0.03675175
100,0.581524165,0.493212853,1.019079574,-0.540091475,0.143684855,-1.651158323,-0.91639076,0.590613753
101,0.687450023,0.973622656,0.56302071,-0.365142201,-0.419873808,-1.679857504,-0.789881572,0.458550867
102,-0.085674604,1.135932179,-0.332433624,-0.506854545,-0.062686074,-2.729587423,-0.864209242,-0.880453719
103,-0.261889003,0.404358077,-0.247941348,-0.451015569,-0.023373155,-2.329840686,-0.563762355,-0.709293484
104,0.454576213,0.638343048,0.506711944,-0.497407346,-0.603438794,-2.024332758,-0.479422839,0.341485727
105,0.230006172,-0.29641292,0.247677225,-0.535925445,-0.639505083,-2.053049243,0.569563225,0.086330055
106,0.633573415,0.25982022,0.425063718,-0.542105935,-0.508374436,-2.060881929,0.290757349,0.257435394
107,0.401965102,0.017541247,0.07309709,-0.444672791,-1.137981139,-1.964295622,0.400378358,-0.00973531
108,0.608021071,-0.868639443,-0.208515274,-0.147986541,-2.18507431,-2.248879377,-0.708373446,-0.406030104
109,0.949743023,-0.438580917,0.095626765,-0.176516126,-1.807447402,-2.063494747,-0.610078517,0.731676021
110,0.267197551,-0.176754279,-0.259204472,-0.355209683,-1.331548767,-1.862509634,-0.730216514,0.110349142
111,0.49869327,-0.616291738,0.044934141,-0.208672134,-2.221204021,-1.429453793,-0.563661327,0.476560607
112,0.497292834,-0.311814472,0.182911692,-0.135549538,-2.290182585,-1.254758358,-0.445747684,0.770692854
113,0.545909328,0.254489178,0.374381373,-0.203414994,-1.948630019,-1.531166242,0.233620422,0.893741722
114,0.561712013,0.279368139,0.171648569,-0.245759566,-2.020867294,-1.184375212,-0.005139282,0.37150684
115,0.417152684,-0.79518749,-0.278924362,-0.125155348,-3.318967781,-1.614649526,0.557225996,-0.610227105
116,0.692207311,-0.400077418,-0.99438116,-0.228141843,-3.690685318,-2.384691119,1.131826781,-0.333969186
117,0.90587216,0.082109653,0.002691429,-0.484049766,-1.351231904,-1.893828843,-1.289446623,0.21842222
118,0.265693304,-0.639986277,0.875516719,-0.660069873,-0.049582775,0.200768731,-1.555409956,0.743683734
119,-0.600256414,-0.732394573,-0.087420416,-0.496157613,-0.859188707,1.245320598,-0.604415217,-0.126818749
120,0.37930648,-2.317570517,1.002190028,0.555398003,-0.387099452,0.920716892,0.681409108,1.142822171
121,-0.003951816,-1.445606195,0.506711944,0.600553187,-0.249456416,0.395788487,0.088807621,0.224416928
122,0.386186411,0.058415114,1.314627785,0.453822338,-0.21013343,0.20857402,-0.906581143,1.364827624
123,2.039503206,-0.226513217,2.350177289,0.507063334,-0.09545137,1.001232638,-0.537065254,3.005756113
124,1.065665276,-0.73298742,1.624211211,1.416193019,0.428603099,1.255699772,-0.47335508,1.868928334
125,0.756957005,0.326165387,1.587625761,1.437402756,0.922893266,1.022009733,0.189933767,1.241848292
126,0.814942877,-0.393559921,1.764919737,1.459940283,1.093042874,1.359537659,0.549843656,1.505900871
127,1.77845427,0.236125427,2.451466593,1.508497357,0.071628787,0.827197618,-0.898490913,2.366898924
128,1.124805463,0.783472989,1.432840901,1.46417024,1.537889629,0.390588806,-0.724553907,1.253848686
129,-1.075719829,0.486697642,0.515161857,1.44273564,1.377640985,-0.012514796,-0.789476939,-1.111689118
130,0.31646178,-0.045249384,0.928995142,0.478695687,1.217361134,0.398386885,-0.859456409,0.788698934
131,0.329375155,-0.513811663,1.22737027,0.548497183,0.798529704,0.528364488,-0.427746983,0.854724888
132,0.375561815,-0.307667852,1.066931575,0.571279903,0.386040529,0.52056785,-0.112434042,0.635636273
133,-0.104959326,-0.373420681,-0.047994342,0.501057991,0.615225455,0.390588806,-3.258381258,-0.240893854
134,0.093185793,0.233756075,-0.039544429,0.584254643,0.775613024,0.463380012,-0.92994154,0.020285803
135,-0.016074391,-0.37045899,-0.749302847,0.472437822,1.135571216,0.484172968,-0.776127869,-0.673255705
136,0.029667902,-0.549354234,-0.709866493,0.508471414,0.454802651,0.242383481,0.032581162,-0.388009385
137,-0.103040752,-0.923729424,-0.960578082,0.488108244,0.006107256,0.343790236,0.110752063,-0.553149295
138,-0.380116258,-1.11565763,-1.146513858,0.531121178,-0.432984155,0.169566319,-1.384202272,-0.757338976
139,-0.319623157,-0.326624448,-1.369096762,0.538539898,0.120762134,-0.337799104,-1.791135693,-1.222807128
140,0.24852254,-0.092046632,-1.293020134,0.514306895,0.097832367,-0.460153103,-1.679997874,-1.237830493
141,-0.242777257,-0.359797413,-1.10143395,0.534575596,0.019216595,0.099340347,-1.679491693,-0.868442346
142,-0.355587362,-0.82895076,-1.245116735,0.52079245,0.814895742,0.107145636,-1.76585368,-0.871443359
143,-0.537290819,-1.003699637,-1.470529983,0.541833066,0.291074828,0.01609931,-1.589084764,-1.084665359
144,-0.948577218,-0.765568554,-1.893220942,0.476722211,0.212472145,-0.327388206,-1.543578042,-1.928674749
145,-0.60235068,-1.113879599,-1.600146712,0.564172496,-0.193749272,-0.225883399,-0.899704985,-1.439059419
146,0.116202096,-0.501964901,-0.056440828,0.462398393,0.775618057,0.660907324,-1.025506281,-0.075772243
147,0.004862735,-1.003108061,-0.259211325,0.504270406,0.769071441,0.863566545,-0.959672955,0.116347509
148,0.655751593,-1.735274247,0.985297055,1.468608009,0.808346105,1.356943586,1.24185277,1.115813051
149,0.913449601,-0.260279028,0.425060291,1.446654265,0.44498021,0.663507165,0.308252216,0.698661214
150,0.748132033,-0.960457179,0.244864014,0.538821616,0.788710283,0.720674815,0.2761949,0.36250014
151,0.884164141,-0.360387465,1.258329298,1.443992324,1.093043881,1.41663898,0.172135642,1.403877396
152,0.099145905,-0.004376278,0.965594298,1.013625987,1.014515693,0.502371851,0.631655214,1.031737099
153,0.520315087,-0.224143611,1.035965693,0.892252561,0.723248147,0.34378591,1.963188491,0.959760356
154,0.885681985,0.634788765,0.816398168,0.984022729,0.664328601,-0.316975867,0.635699982,1.037786703
155,1.04161063,0.934527327,0.923365293,0.909278121,1.279514224,-0.280537726,0.018828151,0.69566386
156,0.867537953,0.38303289,1.342773601,0.48486691,1.155203011,-0.02292281,-0.142570436,1.139821158
157,0.518855841,-0.231844768,0.639042514,0.516042521,0.579216549,-0.113987881,-0.055095752,0.740679061
158,0.511771955,-0.559423981,0.647495853,0.498563901,1.001428501,-0.150415928,1.597313084,0.689661834
159,0.6483332,0.360523027,0.653118849,0.05748669,1.338392495,-0.801310424,1.026857576,0.488561
160,0.377550848,0.814868939,-0.380316464,0.037255569,1.750418585,-0.936786192,0.910562118,-0.553156614
161,0.449503403,0.078555625,0.070283879,-0.025313653,1.403807316,-0.470566885,1.010273002,0.410523673
162,-0.047805285,-0.015631718,0.089990063,-0.001721018,0.96216189,-0.715354191,-0.523311724,-0.171844928
163,1.039739884,-0.2312537,0.478559274,0.094745057,0.019217602,-0.861232204,0.058368663,0.833714135
164,0.193381826,1.07077118,1.151379305,-0.010642253,1.344934078,0.977858588,-1.22078156,-0.00973531
165,0.735408534,1.98301627,1.21892721,0.01969879,1.122486037,0.879156936,-0.622618148,0.45254884
166,0.899571759,0.218946353,1.739597411,0.566544578,-0.056136438,1.377707703,-0.505513252,0.71366994
167,0.791132257,0.540010609,2.049129439,0.502776322,0.454803658,0.117550765,-0.167346268,1.02578265
168,1.684595025,0.360523281,2.561174972,0.484388421,0.386040529,0.47117665,0.509089593,2.042935872
169,1.020822832,0.56014985,2.246085053,0.514839471,0.029043063,-0.241496861,0.791434923,1.565902839
170,1.331679342,0.743785068,1.725527929,1.032303926,0.422061516,0.198171774,0.756444842,0.944755289
171,0.113512304,-0.287328964,1.164049035,0.990080103,0.637594655,0.744058719,1.052341617,0.207408745
172,-0.391445943,-0.727656038,1.039718926,0.004775548,0.247406727,0.856640366,-0.224044453,-0.165342123
